Number,MerchantId,initialValueOfOrderId,Amount,Currency,Commission,PNR,SecurityKey
1,Avia2Split,61599,300,20.00,RUB,3.00,M0BXCQ,cf151491-352d-4247-9965-091f140d1796
2,Avia2Split,61599,300,20.00,RUB,4.00,M0BXCQ,cf151491-352d-4247-9965-091f140d1796
3,Avia2Split,61599,300,21.00,RUB,4.00,M0BXCQ,cf151491-352d-4247-9965-091f140d1796
4,Avia2Split,61599,300,21.00,RUB,0.00,M0BXCQ,cf151491-352d-4247-9965-091f140d1796
5,Avia2Split,61599,300,20.00,RUB,0.00,M0BXCQ,cf151491-352d-4247-9965-091f140d1796
6,GDS Test Gateway,66876,300,20.00,RUB,3.00,M0BXCQ,a7127945-ac38-4cff-b61e-d59fced3fccd
7,GDS Test Gateway,66876,300,20.00,RUB,4.00,M0BXCQ,a7127945-ac38-4cff-b61e-d59fced3fccd
8,GDS Test Gateway,66876,300,21.00,RUB,4.00,M0BXCQ,a7127945-ac38-4cff-b61e-d59fced3fccd
9,GDS Test Gateway,66876,300,21.00,RUB,0.00,M0BXCQ,a7127945-ac38-4cff-b61e-d59fced3fccd
10,GDS Test Gateway,66876,300,20.00,RUB,0.00,M0BXCQ,a7127945-ac38-4cff-b61e-d59fced3fccd
11,Commission Avia2Split Test gateway,65875,300,20.00,RUB,3.00,M0BXCQ,b1020109-0433-47df-bdac-904355a8883c
12,Commission Avia2Split Test gateway,65875,300,20.00,RUB,4.00,M0BXCQ,b1020109-0433-47df-bdac-904355a8883c
13,Commission Avia2Split Test gateway,65875,300,21.00,RUB,4.00,M0BXCQ,b1020109-0433-47df-bdac-904355a8883c
14,Commission Avia2Split Test gateway,65875,300,21.00,RUB,0.00,M0BXCQ,b1020109-0433-47df-bdac-904355a8883c
15,Commission Avia2Split Test gateway,65875,300,20.00,RUB,0.00,M0BXCQ,b1020109-0433-47df-bdac-904355a8883c
